text,label
Feeling anxious,1
Calm and peaceful,0
I am stressed,1
I am stressed,1
Calm and peaceful,1
I am stressed,1
I feel great,1
I feel great,1
I am stressed,1
I am stressed,1
Feeling anxious,0
I feel great,0
Feeling anxious,1
Feeling anxious,1
I feel great,1
I am stressed,0
I am stressed,1
I am stressed,0
Feeling anxious,0
Feeling anxious,1
Calm and peaceful,1
I am stressed,1
Calm and peaceful,1
I feel great,1
I feel great,0
Feeling anxious,1
Feeling anxious,0
I feel great,0
Feeling anxious,0
Calm and peaceful,0
Calm and peaceful,1
I am stressed,1
Calm and peaceful,1
I feel great,0
Feeling anxious,1
I feel great,1
Feeling anxious,0
I feel great,1
I feel great,0
Calm and peaceful,1
Calm and peaceful,1
I am stressed,1
I feel great,0
I am stressed,0
I am stressed,0
I feel great,1
I feel great,1
I am stressed,0
Calm and peaceful,1
Calm and peaceful,0
Feeling anxious,1
I feel great,1
Feeling anxious,0
I feel great,1
Feeling anxious,0
I feel great,1
I am stressed,0
Calm and peaceful,0
Calm and peaceful,1
I am stressed,1
Calm and peaceful,0
I feel great,0
Calm and peaceful,0
Calm and peaceful,0
I am stressed,0
I am stressed,1
Feeling anxious,1
Feeling anxious,0
I am stressed,1
Feeling anxious,1
Feeling anxious,1
I feel great,1
I am stressed,0
Feeling anxious,0
Calm and peaceful,1
I am stressed,0
Calm and peaceful,0
I feel great,1
Calm and peaceful,0
Calm and peaceful,0
Calm and peaceful,1
Calm and peaceful,1
Feeling anxious,1
I am stressed,1
Feeling anxious,1
I am stressed,1
I am stressed,1
I am stressed,1
Calm and peaceful,1
I feel great,0
I feel great,1
Feeling anxious,1
I am stressed,0
I feel great,0
Feeling anxious,1
I feel great,1
I feel great,1
Calm and peaceful,0
Feeling anxious,1
Calm and peaceful,1
